,file,"5, 0, 1","4, 0, 1","3, 0, 1","5, 0, 3","4, 0, 3","4, 0, 5","0, 1, 2","0, 1, 6","0, 1, 7","6, 1, 7","6, 1, 2","7, 1, 2","1, 2, 8"
0,EtOH_moldyn_data_500.xyz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,EtOH_moldyn_data_700.xyz,1.2091774929295435e-36,2.8234392346136633e-61,2.4973628391388885e-17,7.547113752561845e-42,2.009640905150368e-25,1.1194917847260305e-46,0.0,1.4862345096831346e-09,7.385726291142986e-07,2.0086336614833213e-24,5.521445095436615e-38,0.0,6.338390514145601e-07
2,Speed_up_ethanol12_2_700.xyz,5.489217941015928e-07,0.08111020934382085,3.799947090712345e-14,9.450732203865599e-05,5.010190695027276e-38,7.329502764439283e-18,2.6696721109342194e-70,8.68728142521835e-09,1.5782917772360163e-15,1.0527584298070331e-25,2.280948282748187e-54,7.73481172282641e-108,4.701544396722068e-08
3,SVD_not_regularized12_2_500.xyz,0.00011568306525897593,8.131103541253532e-07,5.5142371675060835e-08,2.009229230436628e-14,4.2723039193211325e-49,6.922838609620255e-12,5.634106243790917e-100,1.473356201360653e-21,1.7329076096731367e-12,0.012626056221479956,4.802280865498246e-102,2.545184932506902e-98,3.74933649737652e-45
4,SVD_not_regularized15_4_500.xyz,6.396327528264206e-21,0.0005950931517993543,8.842314240204147e-09,0.0006623722555900288,2.3331910902852033e-39,4.8016579490287e-15,8.321318605291959e-305,1.7285492113792355e-22,2.183386525491887e-16,1.1701625723313479e-153,5.425248903860553e-208,3.277341299699127e-243,2.3864482532149657e-49
5,SVD_not_regularized15_4_700.xyz,3.1342658403310788e-18,3.34141159915679e-25,6.067995979108044e-34,1.5604901334575395e-09,1.240549150243189e-69,7.953709808000996e-20,1.0930914954789659e-233,0.00028538892532270244,0.0006644597203139166,1.3344402794028445e-171,0.004161348430193045,6.673688463155888e-92,5.207751831634474e-28
6,SVD_regularized12_2_500.xyz,5.376930046647094e-15,0.0008849084870411673,0.29896276230878305,5.019608585622879e-08,1.2605669990865402e-05,5.576234208234745e-09,1.13154627948117e-80,1.0818511808961578e-07,3.599002643847271e-07,6.202760385496558e-26,0.08259679859639346,1.369709538576905e-38,2.1678137149136076e-12
7,SVD_regularized12_2_500_v2.xyz,5.152683555550679e-13,1.3071844205373805e-10,0.0003231898804933991,3.098697607498426e-26,3.209126842054004e-72,1.5469475812153772e-24,1.20310872662e-312,3.857389825708291e-18,5.8336448041117247e-08,1.1216356926877386e-07,1.5964927799820403e-15,2.51642175831031e-09,6.129618857190446e-34
8,SVD_regularized12_2_700.xyz,0.00120772119374604,7.762058677048708e-08,7.39545752551824e-23,1.8629152789458923e-13,1.5010239367694388e-15,1.2392201955891994e-24,3.7130315568001904e-157,7.042992217989939e-11,4.0410726287853776e-07,3.616119731368662e-23,2.745248207807849e-15,2.4170711534777387e-70,0.005528887705529789
9,SVD_regularized12_2_700_v2.xyz,1.4019677994457445e-14,2.35546348963502e-14,1.830862227573153e-13,2.0088386831723986e-27,9.793585889821851e-107,1.888908225410168e-06,1.2127772454400806e-38,3.2461317778469957e-39,1.0387425728770876e-21,9.585547329589289e-71,2.9052284589375643e-69,4.283554081098421e-74,1.4566919729488546e-23
10,SVD_regularized15_4_500.xyz,6.344291533362125e-25,3.549755898583102e-23,1.3209874131668995e-24,1.1235163678850676e-35,3.765114237206884e-55,5.222597326922093e-33,9.772684175949562e-154,8.677074595824849e-31,2.136169408104121e-29,2.5319925150052036e-120,1.3413661044030664e-76,5.512068449890475e-20,2.444150585965412e-46
11,SVD_regularized15_4_700.xyz,2.57428706186842e-10,7.73174991371787e-05,1.9132207196837476e-11,3.581674456258008e-21,4.675086627422037e-73,0.0019055143856447664,3.1655368589404845e-177,1.0529940102242886e-31,5.621057031322483e-15,1.6303217005605154e-64,4.185282932363488e-37,7.751082269456292e-44,3.3271001486686825e-06
12,Velverlet_12_500.xyz,6.634931746631305e-06,1.004173616819405e-05,4.2078245030357655e-19,3.9267543794592735e-46,6.589066017434658e-08,7.167048895817643e-65,2.1169371223093942e-69,1.550922882285289e-07,5.0419668391973196e-06,6.242211789456349e-44,2.6257409979943694e-78,1.4067119226015626e-60,6.793196326354676e-35
13,Velverlet_12_700.xyz,3.1735824218618997e-06,0.00026372446509885533,1.1704565101620139e-11,4.1888811566723823e-10,0.00028919301020888976,6.327180495630303e-12,0.0,2.9080770125044286e-27,0.0004089982976619123,2.8978454719681943e-44,6.854869765554952e-23,5.466663363173693e-299,1.784826346545299e-10
