,file,"0, 1","0, 4","0, 5","0, 3","1, 2","1, 6","1, 7","2, 8"
0,EtOH_moldyn_data_500.xyz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,EtOH_moldyn_data_700.xyz,2.4123858070750405e-36,1.945894385464821e-33,3.077644569578585e-33,1.4682625844596404e-09,2.9891940309199227e-61,0.1399893393175503,4.3288307215571935e-07,5.701310091809416e-80
2,Speed_up_ethanol12_2_700.xyz,1.452916254272028e-06,0.003582135287733501,4.323515578793906e-05,6.506460707891585e-24,3.3361678038445875e-12,0.005992586144690505,3.101114207600629e-10,2.3522279210581024e-170
3,SVD_not_regularized12_2_500.xyz,5.273723201981261e-29,0.02179887190641474,0.05326353549079588,1.221822581024635e-06,1.5725421795091226e-11,1.9140327800225795e-06,1.8260141667658835e-47,1.932644212370966e-45
4,SVD_not_regularized15_4_500.xyz,4.0951540357011125e-13,1.6931059023678215e-06,0.0004496896158532099,2.7638980266881285e-09,0.0004889640449668006,2.6844906551659163e-87,0.0,4.945220399980406e-126
5,SVD_not_regularized15_4_700.xyz,2.9242963936192095e-06,1.259215399118522e-62,1.7448873513219827e-167,2.4012197229820018e-87,1.3939213906679526e-09,9.121669012357062e-10,1.333688914373449e-35,1.3927839276992293e-50
6,SVD_regularized12_2_500.xyz,3.313312400628867e-08,7.922711897404078e-07,0.017301279996510457,0.15257323227770814,2.5176252842112933e-05,0.05557277486585732,1.0913299166750666e-08,6.789006482994014e-28
7,SVD_regularized12_2_500_v2.xyz,2.4131461389281858e-33,1.1392766416363457e-07,2.866235664387727e-19,1.2120427847042747e-13,1.573517572150635e-09,7.269229412136966e-46,7.131733835660388e-139,6.111285478858898e-277
8,SVD_regularized12_2_700.xyz,3.945932377084602e-17,0.006349994631503901,6.102327540639828e-07,0.0014285753227265433,0.0020977656115966723,3.124007646796574e-07,2.508651946497741e-10,3.694362769195936e-14
9,SVD_regularized12_2_700_v2.xyz,1.9853043950604063e-16,2.421876153572937e-14,3.522005571984704e-23,6.021952012267774e-22,2.4649378279617782e-11,3.3439705792879615e-48,9.459097161244307e-169,2.9067135141081106e-26
10,SVD_regularized15_4_500.xyz,2.848166044828108e-57,9.628750194132643e-16,3.727206699392175e-17,1.6329821078055596e-14,9.910386461061363e-45,4.975762544946353e-07,1.1280207905666612e-12,1.2783182922538035e-38
11,SVD_regularized15_4_700.xyz,5.573197540732787e-09,2.147410915726315e-43,2.3219814895410283e-67,9.263617498213621e-74,5.471769320296474e-05,6.664023962575921e-16,4.096731013154977e-27,8.373090207508583e-183
12,Velverlet_12_500.xyz,3.1660515025935684e-07,5.2651487116215924e-08,3.4234083455298127e-09,2.3613093857219947e-56,1.5039629555988092e-07,2.6787883650795746e-06,1.880404713632938e-08,0.0
13,Velverlet_12_700.xyz,1.631370809911726e-21,1.8260164665148966e-18,2.381207222663173e-06,8.554832478123786e-22,4.481298170268102e-50,1.581475445556811e-117,2.673951789272615e-113,0.0
